neuronid,time,slope,genotype
1,-20,107.7211554,WTNE
1,-19,103.2183511,WTNE
1,-18,105.5851616,WTNE
1,-17,105.4505812,WTNE
1,-16,111.3773815,WTNE
1,-15,107.8558862,WTNE
1,-14,95.59824369,WTNE
1,-13,102.1023112,WTNE
1,-12,97.0607341,WTNE
1,-11,97.21456175,WTNE
1,-10,103.1221148,WTNE
1,-9,98.09978497,WTNE
1,-8,100.0625536,WTNE
1,-7,106.1048374,WTNE
1,-6,95.36727666,WTNE
1,-5,97.69574305,WTNE
1,-4,98.11903222,WTNE
1,-3,96.44497241,WTNE
1,-2,85.93837872,WTNE
1,-1,85.86138971,WTNE
1,0,191.5358706,WTNE
1,1,177.6327384,WTNE
1,2,159.0674105,WTNE
1,3,158.9842563,WTNE
1,4,157.4856773,WTNE
1,5,154.4330331,WTNE
1,6,156.5421109,WTNE
1,7,164.8674496,WTNE
1,8,167.8367893,WTNE
1,9,160.482685,WTNE
1,10,152.1853149,WTNE
1,11,149.7709878,WTNE
1,12,154.0168113,WTNE
1,13,148.8552396,WTNE
1,14,158.5402162,WTNE
1,15,138.143392,WTNE
1,16,142.5834925,WTNE
1,17,140.973941,WTNE
1,18,143.0275326,WTNE
1,19,148.1891043,WTNE
1,20,144.9700014,WTNE
1,21,135.7012466,WTNE
1,22,157.2080959,WTNE
1,23,143.8877945,WTNE
1,24,138.6429184,WTNE
1,25,135.8678556,WTNE
1,26,151.7689428,WTNE
1,27,147.467633,WTNE
1,28,147.4399651,WTNE
1,29,135.0075936,WTNE
1,30,150.2426958,WTNE
1,31,133.814264,WTNE
1,32,142.6389787,WTNE
1,33,142.4170338,WTNE
1,34,131.2056599,WTNE
1,35,124.3235644,WTNE
1,36,143.332782,WTNE
1,37,134.1473317,WTNE
1,38,132.509962,WTNE
1,39,117.3858322,WTNE
1,40,119.1063561,WTNE
1,41,131.4554231,WTNE
1,42,128.2918064,WTNE
1,43,131.9827677,WTNE
1,44,130.2066072,WTNE
1,45,129.7070809,WTNE
1,46,123.6297611,WTNE
1,47,139.0869585,WTNE
1,48,123.6019428,WTNE
1,49,127.4593627,WTNE
1,50,127.9588891,WTNE
1,51,118.2182759,WTNE
1,52,119.3006331,WTNE
1,53,118.6346481,WTNE
1,54,128.9301235,WTNE
1,55,112.3074147,WTNE
1,56,129.4573177,WTNE
1,57,117.0527645,WTNE
1,58,123.1024164,WTNE
1,59,114.2500338,WTNE
1,60,106.3965535,WTNE
2,-20,110.907532,WTNE
2,-19,110.2149267,WTNE
2,-18,99.48669093,WTNE
2,-17,100.0614167,WTNE
2,-16,102.1687658,WTNE
2,-15,106.6634275,WTNE
2,-14,102.0656212,WTNE
2,-13,104.2023766,WTNE
2,-12,92.51630687,WTNE
2,-11,96.11201087,WTNE
2,-10,103.9960876,WTNE
2,-9,98.74988091,WTNE
2,-8,99.92880234,WTNE
2,-7,101.9034735,WTNE
2,-6,95.1541134,WTNE
2,-5,97.24672751,WTNE
2,-4,94.91835451,WTNE
2,-3,94.06360155,WTNE
2,-2,90.96894868,WTNE
2,-1,98.67620626,WTNE
2,0,110.666565,WTNE
2,1,228.3400339,WTNE
2,2,239.4433753,WTNE
2,3,231.3800024,WTNE
2,4,231.8974398,WTNE
2,5,236.5543128,WTNE
2,6,223.1010041,WTNE
2,7,213.7440695,WTNE
2,8,226.9386277,WTNE
2,9,233.7946891,WTNE
2,10,220.276661,WTNE
2,11,219.3495672,WTNE
2,12,220.9234736,WTNE
2,13,210.8118819,WTNE
2,14,215.7490997,WTNE
2,15,206.758633,WTNE
2,16,211.976132,WTNE
2,17,208.2247585,WTNE
2,18,209.5614453,WTNE
2,19,203.610947,WTNE
2,20,195.2025735,WTNE
2,21,207.5348208,WTNE
2,22,206.1118838,WTNE
2,23,215.4256934,WTNE
2,24,207.7935077,WTNE
2,25,207.5563516,WTNE
2,26,205.7238217,WTNE
2,27,200.3985418,WTNE
2,28,196.3236985,WTNE
2,29,203.610947,WTNE
2,30,200.2260414,WTNE
2,31,199.7732599,WTNE
2,32,189.9635438,WTNE
2,33,204.882978,WTNE
2,34,201.1746661,WTNE
2,35,191.4512001,WTNE
2,36,188.3465757,WTNE
2,37,188.5622011,WTNE
2,38,188.7131071,WTNE
2,39,197.7466354,WTNE
2,40,190.092919,WTNE
2,41,179.8735464,WTNE
2,42,183.1937961,WTNE
2,43,193.025043,WTNE
2,44,192.3782939,WTNE
2,45,181.1240465,WTNE
2,46,183.2584519,WTNE
2,47,180.7143901,WTNE
2,48,181.9648902,WTNE
2,49,181.4474528,WTNE
2,50,170.990924,WTNE
2,51,180.9731405,WTNE
2,52,178.0194222,WTNE
2,53,176.1221729,WTNE
2,54,166.89455,WTNE
