neuronid,time,slope,genotype
1,11,140.4501152,WTNE
1,12,134.2505673,WTNE
1,13,135.0623475,WTNE
1,14,122.1712158,WTNE
1,15,136.8583053,WTNE
1,16,133.7830539,WTNE
1,17,133.8814611,WTNE
1,18,144.0665533,WTNE
1,19,136.4400482,WTNE
1,20,141.3849307,WTNE
1,21,143.9188896,WTNE
1,22,132.7989819,WTNE
1,23,142.8610387,WTNE
1,24,140.2040443,WTNE
1,25,136.7352698,WTNE
1,26,143.5007383,WTNE
1,27,148.2979571,WTNE
1,28,144.4355539,WTNE
1,29,153.6119459,WTNE
1,30,145.2228114,WTNE
1,31,149.2082501,WTNE
1,32,129.9206506,WTNE
1,33,141.3604082,WTNE
1,34,130.9785016,WTNE
1,35,130.1666158,WTNE
1,36,133.7585314,WTNE
1,37,140.1548936,WTNE
1,38,137.5471557,WTNE
1,39,140.2533008,WTNE
1,40,139.4414149,WTNE
1,41,143.623668,WTNE
1,42,135.0377192,WTNE
1,43,144.0910758,WTNE
1,44,136.8090488,WTNE
1,45,138.3344132,WTNE
1,46,137.9899352,WTNE
1,47,139.1216708,WTNE
1,48,140.8191157,WTNE
1,49,134.7671259,WTNE
1,50,139.4414149,WTNE
1,51,135.5052327,WTNE
1,52,143.0087023,WTNE
1,53,135.0623475,WTNE
1,54,147.1170707,WTNE
1,55,141.9753739,WTNE
1,56,141.9753739,WTNE
1,57,135.0869757,WTNE
1,58,150.5613227,WTNE
1,59,145.9116618,WTNE
1,60,140.0072299,WTNE
4,-20,92.24242466,WTNE
4,-19,106.604575,WTNE
4,-18,101.9024848,WTNE
4,-17,99.78748621,WTNE
4,-16,91.73093918,WTNE
4,-15,93.92458569,WTNE
4,-14,108.1785609,WTNE
4,-13,100.7908637,WTNE
4,-12,97.04296177,WTNE
4,-11,99.63991861,WTNE
4,-10,98.61687916,WTNE
4,-9,105.109374,WTNE
4,-8,103.181267,WTNE
4,-7,100.8499181,WTNE
4,-6,104.5093069,WTNE
4,-5,94.61316599,WTNE
4,-4,95.03613831,WTNE
4,-3,101.6270116,WTNE
4,-2,100.0727562,WTNE
4,-1,104.5388341,WTNE
4,0,134.232669,WTNE
4,1,153.7102222,WTNE
4,2,147.7553831,WTNE
4,3,158.6300328,WTNE
4,4,142.8893517,WTNE
4,5,140.3219221,WTNE
4,6,137.51252,WTNE
4,7,139.9993149,WTNE
4,8,146.5859407,WTNE
4,9,139.7573424,WTNE
4,10,124.0838683,WTNE
4,11,134.8106764,WTNE
4,12,139.1793351,WTNE
4,13,139.8514733,WTNE
4,14,128.1971267,WTNE
4,15,129.5144793,WTNE
4,16,118.7742435,WTNE
4,17,134.232669,WTNE
4,18,128.4525269,WTNE
4,19,137.9561134,WTNE
4,20,135.8053533,WTNE
4,21,138.5609761,WTNE
4,22,126.8394911,WTNE
4,23,129.4338446,WTNE
4,24,133.9772688,WTNE
4,25,124.3796201,WTNE
4,26,118.0752499,WTNE
4,27,119.8630512,WTNE
4,28,127.9955058,WTNE
4,29,124.6350202,WTNE
4,30,116.7041866,WTNE
4,31,120.951859,WTNE
4,32,114.0560538,WTNE
4,33,118.6801811,WTNE
4,34,117.2956216,WTNE
4,35,114.1367569,WTNE
4,36,124.2720615,WTNE
4,37,126.3690423,WTNE
4,38,112.9135353,WTNE
4,39,NA,WTNE
4,40,NA,WTNE
4,41,NA,WTNE
4,42,NA,WTNE
4,43,NA,WTNE
4,44,NA,WTNE
4,45,NA,WTNE
4,46,NA,WTNE
4,47,NA,WTNE
4,48,NA,WTNE
4,49,NA,WTNE
4,50,NA,WTNE
4,51,NA,WTNE
4,52,NA,WTNE
4,53,NA,WTNE
4,54,NA,WTNE
4,55,NA,WTNE
4,56,NA,WTNE
4,57,NA,WTNE
4,58,NA,WTNE
4,59,NA,WTNE
4,60,NA,WTNE
5,-20,103.1810179,WTNE
5,-19,99.07585561,WTNE
5,-18,97.74015497,WTNE
5,-17,99.92040557,WTNE
5,-16,100.1168446,WTNE
5,-15,104.2810129,WTNE
5,-14,100.0972113,WTNE
5,-13,97.2491104,WTNE
5,-12,100.9222341,WTNE
5,-11,99.13475549,WTNE
5,-10,106.4023636,WTNE
5,-9,94.36163676,WTNE
5,-8,92.90813635,WTNE
5,-7,106.7559752,WTNE
5,-6,99.66506664,WTNE
5,-5,94.22420371,WTNE
5,-4,96.09021551,WTNE
5,-3,101.7275175,WTNE
5,-2,104.6542577,WTNE
5,-1,101.4918119,WTNE
5,0,128.2229111,WTNE
5,1,181.2376828,WTNE
5,2,184.2459277,WTNE
5,3,159.8387735,WTNE
5,4,160.3496636,WTNE
5,5,155.241187,WTNE
5,6,154.2761842,WTNE
5,7,151.8355006,WTNE
5,8,159.0819897,WTNE
5,9,155.5627485,WTNE
5,10,159.34688,WTNE
5,11,151.7219459,WTNE
5,12,143.3781149,WTNE
5,13,150.3218268,WTNE
5,14,144.1916761,WTNE
5,15,140.6535446,WTNE
5,16,140.0103154,WTNE
5,17,141.8644411,WTNE
5,18,144.0781214,WTNE
5,19,141.5806605,WTNE
5,20,151.2489427,WTNE
5,21,147.5594756,WTNE
5,22,152.6490618,WTNE
5,23,155.2789679,WTNE
5,24,150.4542719,WTNE
5,25,144.6267923,WTNE
5,26,134.277394,WTNE
5,27,139.1967542,WTNE
5,28,141.3346606,WTNE
5,29,131.7421523,WTNE
5,30,139.9156511,WTNE
5,31,140.4454317,WTNE
5,32,136.3208483,WTNE
5,33,134.315281,WTNE
5,34,135.6965096,WTNE
5,35,126.3687854,WTNE
5,36,135.5640645,WTNE
5,37,138.1183028,WTNE
5,38,129.2068044,WTNE
5,39,130.1339203,WTNE
5,40,131.3258203,WTNE
5,41,131.477262,WTNE
5,42,142.791557,WTNE
5,43,135.2991742,WTNE
5,44,131.8556008,WTNE
5,45,129.2824721,WTNE
5,46,126.4254566,WTNE
5,47,144.8916826,WTNE
5,48,137.7587482,WTNE
5,49,138.0804158,WTNE
5,50,134.8639519,WTNE
5,51,124.7794438,WTNE
5,52,131.9312686,WTNE
5,53,133.8233874,WTNE
5,54,131.1744848,WTNE
5,55,124.0036635,WTNE
5,56,124.2875503,WTNE
5,57,131.8367104,WTNE
5,58,124.8929986,WTNE
5,59,132.1772685,WTNE
5,60,124.7415569,WTNE
6,-20,108.115458,WTNE
6,-19,104.7096416,WTNE
6,-18,106.2081813,WTNE
6,-17,101.8351019,WTNE
6,-16,97.67996127,WTNE
6,-15,99.05590697,WTNE
6,-14,101.1266786,WTNE
6,-13,104.069314,WTNE
6,-12,104.9275804,WTNE
6,-11,112.5975884,WTNE
6,-10,86.63133162,WTNE
6,-9,96.90338792,WTNE
6,-8,107.1481951,WTNE
6,-7,96.68544918,WTNE
6,-6,96.23586553,WTNE
6,-5,89.86011019,WTNE
6,-4,97.88430264,WTNE
6,-3,99.50549062,WTNE
6,-2,93.34767403,WTNE
6,-1,95.47294394,WTNE
6,0,120.1343965,WTNE
6,1,190.0348093,WTNE
6,2,180.7167449,WTNE
6,3,186.122409,WTNE
6,4,182.5236186,WTNE
6,5,180.9407209,WTNE
6,6,176.9686009,WTNE
6,7,182.7625517,WTNE
6,8,182.7774545,WTNE
6,9,176.699808,WTNE
6,10,177.3867475,WTNE
6,11,185.3160302,WTNE
6,12,169.0094583,WTNE
6,13,175.1617272,WTNE
6,14,173.9671161,WTNE
6,15,169.4125933,WTNE
6,16,168.9347815,WTNE
6,17,166.5753648,WTNE
6,18,169.9352765,WTNE
6,19,166.3513888,WTNE
6,20,162.0059393,WTNE
6,21,164.5296124,WTNE
6,22,156.122409,WTNE
6,23,159.5569431,WTNE
6,24,154.211053,WTNE
6,25,157.5260934,WTNE
6,26,162.2598295,WTNE
6,27,154.3753093,WTNE
6,28,151.1050316,WTNE
6,29,149.6863901,WTNE
6,30,150.1492992,WTNE
6,31,161.2742373,WTNE
6,32,159.6913396,WTNE
6,33,156.7496288,WTNE
6,34,145.6993131,WTNE
6,35,145.8486666,WTNE
6,36,150.3434153,WTNE
6,37,146.0278257,WTNE
6,38,153.9870227,WTNE
6,39,145.1318674,WTNE
6,40,143.041298,WTNE
6,41,144.6390984,WTNE
6,42,136.9039318,WTNE
6,43,147.8346994,WTNE
6,44,141.7122904,WTNE
6,45,145.6844103,WTNE
6,46,141.2792412,WTNE
6,47,139.7262032,WTNE
6,48,134.5296124,WTNE
6,49,144.4897992,WTNE
6,50,134.305582,WTNE
6,51,136.3364861,WTNE
6,52,144.2508662,WTNE
6,53,142.772505,WTNE
6,54,137.4564204,WTNE
6,55,135.6794065,WTNE
6,56,140.069673,WTNE
6,57,140.069673,WTNE
6,58,134.1861426,WTNE
6,59,138.3076162,WTNE
6,60,133.7082765,WTNE
7,-20,NA,WTNE
7,-19,NA,WTNE
7,-18,NA,WTNE
7,-17,NA,WTNE
7,-16,NA,WTNE
7,-15,109.0444451,WTNE
7,-14,103.6116508,WTNE
7,-13,99.13680246,WTNE
7,-12,104.7879368,WTNE
7,-11,96.35980512,WTNE
7,-10,101.3802792,WTNE
7,-9,98.96703231,WTNE
7,-8,93.8009983,WTNE
7,-7,102.4352901,WTNE
7,-6,98.93064232,WTNE
7,-5,101.5500493,WTNE
7,-4,100.8830738,WTNE
7,-3,98.55471202,WTNE
7,-2,97.28143587,WTNE
7,-1,93.27958275,WTNE
7,0,150.6866276,WTNE
7,1,220.8195594,WTNE
7,2,232.248259,WTNE
7,3,212.3008638,WTNE
7,4,222.0713901,WTNE
7,5,225.3553068,WTNE
7,6,223.9246645,WTNE
7,7,224.7537884,WTNE
7,8,216.7553128,WTNE
7,9,214.2354365,WTNE
7,10,217.42184,WTNE
7,11,211.3417222,WTNE
7,12,210.9678094,WTNE
7,13,212.5934782,WTNE
7,14,210.1223959,WTNE
7,15,204.8551125,WTNE
7,16,204.5299937,WTNE
7,17,204.3511821,WTNE
7,18,203.5708521,WTNE
7,19,205.9443465,WTNE
7,20,195.9299997,WTNE
7,21,196.0763069,WTNE
7,22,204.6275069,WTNE
7,23,204.2373793,WTNE
7,24,189.9636847,WTNE
7,25,185.9319425,WTNE
7,26,192.4834863,WTNE
7,27,184.2411902,WTNE
7,28,185.1028185,WTNE
7,29,179.4128284,WTNE
7,30,181.1198703,WTNE
7,31,181.7213139,WTNE
7,32,179.900544,WTNE
7,33,191.4430463,WTNE
7,34,187.3462952,WTNE
7,35,184.7126162,WTNE
7,36,184.3387034,WTNE
7,37,178.128568,WTNE
7,38,170.6665272,WTNE
7,39,172.0321607,WTNE
7,40,174.974669,WTNE
7,41,170.1625968,WTNE
7,42,169.8211884,WTNE
7,43,169.8048988,WTNE
7,44,168.1467256,WTNE
7,45,166.8135966,WTNE
7,46,166.9761933,WTNE
7,47,165.025331,WTNE
7,48,172.4710823,WTNE
7,49,159.7580476,WTNE
7,50,151.5970499,WTNE
7,51,165.3667394,WTNE
7,52,161.2699883,WTNE
7,53,154.5720626,WTNE
7,54,160.619676,WTNE
7,55,164.0661894,WTNE
7,56,162.0828227,WTNE
7,57,152.3773799,WTNE
7,58,158.7989061,WTNE
7,59,156.5229249,WTNE
7,60,155.3198882,WTNE
8,-20,NA,WTNE
8,-19,NA,WTNE
8,-18,NA,WTNE
8,-17,NA,WTNE
8,-16,NA,WTNE
8,-15,111.1193232,WTNE
8,-14,103.739489,WTNE
8,-13,105.72262,WTNE
8,-12,103.8045868,WTNE
8,-11,99.51317782,WTNE
8,-10,102.2765417,WTNE
8,-9,96.96118938,WTNE
8,-8,95.87206269,WTNE
8,-7,95.14058905,WTNE
8,-6,93.85651106,WTNE
8,-5,93.56387028,WTNE
8,-4,103.26815,WTNE
8,-3,94.92929915,WTNE
8,-2,102.0977579,WTNE
8,-1,98.13158142,WTNE
8,0,136.2429748,WTNE
8,1,188.4233668,WTNE
8,2,194.5635196,WTNE
8,3,182.9373573,WTNE
8,4,174.0331563,WTNE
8,5,173.1680653,WTNE
8,6,176.6285147,WTNE
8,7,170.2773287,WTNE
8,8,179.751328,WTNE
8,9,170.4883619,WTNE
8,10,168.0618643,WTNE
8,11,167.893089,WTNE
8,12,165.2766871,WTNE
8,13,167.3655486,WTNE
8,14,163.3354719,WTNE
8,15,167.9352615,WTNE
8,16,168.9269553,WTNE
8,17,161.8584101,WTNE
8,18,155.0220272,WTNE
8,19,163.9895296,WTNE
8,20,169.8343042,WTNE
8,21,148.6709267,WTNE
8,22,163.9684862,WTNE
8,23,163.9895296,WTNE
8,24,163.2721705,WTNE
8,25,163.8840557,WTNE
8,26,165.3188595,WTNE
8,27,152.6166585,WTNE
8,28,157.8916348,WTNE
8,29,162.3859505,WTNE
8,30,152.0046877,WTNE
8,31,161.119922,WTNE
8,32,162.0694434,WTNE
8,33,155.4018357,WTNE
8,34,141.6235105,WTNE
8,35,150.5277115,WTNE
8,36,151.1395968,WTNE
8,37,154.9375968,WTNE
8,38,143.9234053,WTNE
8,39,154.6211752,WTNE
8,40,167.7031847,WTNE
8,41,135.2934534,WTNE
8,42,149.0507352,WTNE
8,43,155.59174,WTNE
8,44,150.2112044,WTNE
8,45,155.8238167,WTNE
8,46,141.8767162,WTNE
8,47,155.612869,WTNE
8,48,147.99574,WTNE
8,49,140.6318167,WTNE
8,50,147.7214053,WTNE
8,51,129.4698933,WTNE
8,52,148.8819599,WTNE
8,53,141.5390801,WTNE
8,54,132.4871472,WTNE
8,55,146.5609362,WTNE
8,56,136.7072138,WTNE
8,57,143.31152,WTNE
8,58,145.9279219,WTNE
8,59,134.5972233,WTNE
8,60,133.2890223,WTNE
9,-20,NA,WTNE
9,-19,NA,WTNE
9,-18,NA,WTNE
9,-17,NA,WTNE
9,-16,NA,WTNE
9,-15,120.9997478,WTNE
9,-14,109.6596948,WTNE
9,-13,108.1259796,WTNE
9,-12,104.5705201,WTNE
9,-11,98.50546758,WTNE
9,-10,102.0375975,WTNE
9,-9,96.78583653,WTNE
9,-8,100.2948171,WTNE
9,-7,96.29789764,WTNE
9,-6,95.18240285,WTNE
9,-5,88.44340557,WTNE
9,-4,101.5264191,WTNE
9,-3,91.71999135,WTNE
9,-2,93.76488497,WTNE
9,-1,92.09182295,WTNE
9,0,97.94276604,WTNE
9,1,189.9973878,WTNE
9,2,193.8159578,WTNE
9,3,177.0257976,WTNE
9,4,170.9334522,WTNE
9,5,177.8419716,WTNE
9,6,176.2679025,WTNE
9,7,164.1416707,WTNE
9,8,149.8000324,WTNE
9,9,143.3579239,WTNE
9,10,137.702895,WTNE
9,11,135.108631,WTNE
9,12,138.9562954,WTNE
9,13,149.8000324,WTNE
9,14,144.727972,WTNE
9,15,150.8785062,WTNE
9,16,161.1975535,WTNE
9,17,142.0753391,WTNE
9,18,137.906916,WTNE
9,19,128.9871913,WTNE
9,20,134.0591616,WTNE
9,21,127.7628853,WTNE
9,22,141.9878758,WTNE
9,23,140.6178277,WTNE
9,24,158.2534364,WTNE
9,25,164.9286602,WTNE
9,26,164.7829181,WTNE
9,27,162.6841593,WTNE
9,28,163.3837756,WTNE
9,29,167.1440667,WTNE
9,30,169.0388045,WTNE
9,31,173.7610117,WTNE
9,32,175.7723072,WTNE
9,33,194.0783477,WTNE
9,34,195.6815111,WTNE
9,35,175.6265651,WTNE
9,36,150.7327641,WTNE
9,37,148.5757265,WTNE
9,38,138.927201,WTNE
9,39,150.0623322,WTNE
9,40,139.9183015,WTNE
9,41,155.5133402,WTNE
9,42,163.8792808,WTNE
9,43,165.3367922,WTNE
9,44,179.9699148,WTNE
9,45,170.9334522,WTNE
9,46,143.7368715,WTNE
9,47,160.4396584,WTNE
9,48,162.4801384,WTNE
9,49,161.8679854,WTNE
9,50,185.1293484,WTNE
9,51,165.1326812,WTNE
9,52,172.4201481,WTNE
9,53,176.6468501,WTNE
9,54,179.8824515,WTNE
9,55,162.1302852,WTNE
9,56,151.1991749,WTNE
9,57,158.5449206,WTNE
9,58,146.9724729,WTNE
9,59,144.0283558,WTNE
9,60,161.9554487,WTNE
10,-20,NA,WTNE
10,-19,NA,WTNE
10,-18,NA,WTNE
10,-17,NA,WTNE
10,-16,NA,WTNE
10,-15,90.65833418,WTNE
10,-14,118.8737609,WTNE
10,-13,113.248486,WTNE
10,-12,120.3619122,WTNE
10,-11,101.7897449,WTNE
10,-10,92.65252464,WTNE
10,-9,103.6350718,WTNE
10,-8,97.59317258,WTNE
10,-7,95.71812123,WTNE
10,-6,100.837357,WTNE
10,-5,83.66404706,WTNE
10,-4,96.4323517,WTNE
10,-3,93.96208815,WTNE
10,-2,102.682684,WTNE
10,-1,87.89034369,WTNE
10,0,160.3770644,WTNE
10,1,226.8623641,WTNE
10,2,219.0466697,WTNE
10,3,219.4553192,WTNE
10,4,213.6317611,WTNE
10,5,204.7687058,WTNE
10,6,217.3097278,WTNE
10,7,206.9142972,WTNE
10,8,207.3995534,WTNE
10,9,192.5086152,WTNE
10,10,183.1348084,WTNE
10,11,175.3189931,WTNE
10,12,191.2571713,WTNE
10,13,189.1115799,WTNE
10,14,173.4544541,WTNE
10,15,177.6689093,WTNE
10,16,187.4513656,WTNE
10,17,195.1394628,WTNE
10,18,184.7439113,WTNE
10,19,182.3686207,WTNE
10,20,174.501694,WTNE
10,21,177.8221227,WTNE
10,22,179.9166026,WTNE
10,23,167.2222464,WTNE
10,24,173.7610016,WTNE
10,25,157.43979,WTNE
10,26,178.7160284,WTNE
10,27,182.7261589,WTNE
10,28,168.9335721,WTNE
10,29,172.8414797,WTNE
10,30,172.9180864,WTNE
10,31,154.757831,WTNE
10,32,153.8383091,WTNE
10,33,154.9621558,WTNE
10,34,167.4521873,WTNE
10,35,168.6270245,WTNE
10,36,157.8739349,WTNE
10,37,154.528011,WTNE
10,38,160.325953,WTNE
10,39,152.1525996,WTNE
10,40,163.3654501,WTNE
10,41,156.2393367,WTNE
10,42,162.0372787,WTNE
10,43,158.2570891,WTNE
10,44,162.6758691,WTNE
10,45,152.5612491,WTNE
10,46,144.0813481,WTNE
10,47,145.8437852,WTNE
10,48,149.2153252,WTNE
10,49,157.0311405,WTNE
10,50,138.3345175,WTNE
10,51,151.9227795,WTNE
10,52,155.6773529,WTNE
10,53,144.2090662,WTNE
10,54,154.9877719,WTNE
10,55,144.4390071,WTNE
10,56,156.2903273,WTNE
10,57,153.8383091,WTNE
10,58,147.682829,WTNE
10,59,128.7562651,WTNE
10,60,135.5248404,WTNE
11,-20,NA,WTNE
11,-19,NA,WTNE
11,-18,NA,WTNE
11,-17,NA,WTNE
11,-16,NA,WTNE
11,-15,86.79800418,WTNE
11,-14,99.98975573,WTNE
11,-13,105.5650466,WTNE
11,-12,111.4755358,WTNE
11,-11,105.3518755,WTNE
11,-10,110.1959065,WTNE
11,-9,108.6726746,WTNE
11,-8,108.5203665,WTNE
11,-7,94.62778667,WTNE
11,-6,96.05972407,WTNE
11,-5,94.32317042,WTNE
11,-4,100.7210155,WTNE
11,-3,97.24790821,WTNE
11,-2,93.25671225,WTNE
11,-1,87.19406556,WTNE
11,0,148.7812337,WTNE
11,1,200.7940812,WTNE
11,2,199.7054774,WTNE
11,3,189.0609323,WTNE
11,4,183.2548442,WTNE
11,5,198.2539553,WTNE
11,6,179.8679092,WTNE
11,7,182.6499806,WTNE
11,8,175.090014,WTNE
11,9,155.010651,WTNE
11,10,171.5216952,WTNE
11,11,139.6486217,WTNE
11,12,149.1440012,WTNE
11,13,151.8050998,WTNE
11,14,176.4205633,WTNE
11,15,144.5474897,WTNE
11,16,193.7784165,WTNE
11,17,206.3582239,WTNE
11,18,184.343448,WTNE
11,19,176.2391795,WTNE
11,20,175.3319594,WTNE
11,21,168.4976785,WTNE
11,22,158.0950788,WTNE
11,23,187.2464921,WTNE
11,24,161.0586846,WTNE
11,25,176.3601522,WTNE
11,26,174.8480685,WTNE
11,27,132.0280934,WTNE
11,28,145.273326,WTNE
11,29,173.2755738,WTNE
11,30,147.6320682,WTNE
11,31,171.1587771,WTNE
11,32,179.44458,WTNE
11,33,137.9551542,WTNE
11,34,175.2713977,WTNE
11,35,170.4330914,WTNE
11,36,173.8804374,WTNE
11,37,176.9044541,WTNE
11,38,148.1158084,WTNE
11,39,163.6592215,WTNE
11,40,155.3130075,WTNE
