name,genotype,animal,slice,neuron_number,Bregma,str_rad,str_lac,ml_pos,position,tot_len,max_plen,bpoints,mpeucl,maxbo,mangleB,mblen,mplen,mbo,wh,wz,chullx,chully,chullz,hull,masym,mparea,dend_vol,span_vol,DV_span,str_lac_overlap,overall_x_span,lin_d,lin_s,nonlin_m,nonlin_meand,nonlin_meank,nl_stc,mature_lin_d,mature_lin_s,mature_nonlin_meand,mature_nonlin_meank,mature_nl_stc,AUC,con_rep,con_rep_onlymorph,Succ_spikes_rad_40Hz,Succ_spikes_both_40Hz,Succ_spikes_rad_100Hz,Succ_spikes_both_100Hz
6_low_10_santi_v1,Wild-Type_EE,6,12,10,360,103.59396,82.78083304,3,mid_lat,1990.538398,319.3433224,30,0.926101061,17,1.22531822,33.73793386,148.0375415,8.983606557,0.628944046,3.672178044,-8.84E-14,133.001125,-3.68E-14,676073.2235,0.253193733,0.383887661,14163.1029,273531.5286,271.6842239,,,,,,,,,,,,,,1550,11659.8366220243,10451.46413,100,100,50,73.333
6_low_13_santi_v1,Wild-Type_EE,6,12,13,360,102.3323259,79.74946006,3,mid_lat,1144.207608,206.2213113,22,0.873251327,13,1.202823368,22.88415216,88.41150538,7.111111111,0.915179252,4.619336135,9.62E-16,69.91162857,-8.75E-14,385240.0363,0.287118707,0.393741468,9772.722036,210565.6451,188.978311,,,,,,,,,,,,,,870,6666.73648982719,5972.136022,83.3325,83.3325,36.667,40
6_low_2_santi_v2,Wild-Type_EE,6,12,2,360,123.7801047,86.8130768,2,mid_cent,1179.730773,192.9886466,20,0.891408861,15,1.275200759,22.25906742,97.75803182,8.243902439,0.785555428,3.917685497,-1.29E-14,79.2654747,7.11E-14,288253.4105,0.254399623,0.399722269,9192.450296,60487.42109,185.8757096,,,,,,,,,,,,,,930,6782.88285560438,6066.717749,100,100,43.333,50
6_low_3_santi_v1,Wild-Type_EE,6,12,3,360,143.4888225,94.41931121,2,mid_cent,2773.46401,358.733215,41,0.883392986,16,1.168255586,28.01478798,176.6874641,8.819277108,0.530748539,3.832305148,2.49E-14,158.2374757,7.14E-13,1090837.369,0.28792016,0.372227698,21562.33755,269172.1679,341.2667008,,,,,,,,,,,,,,2190,16482.1615403676,14798.50782,91.6675,100,36.667,73.333
6_low_9_santi_v1,Wild-Type_EE,6,12,9,360,118.7680813,80.89413411,2,mid_cent,1693.951322,196.5917207,25,0.935568832,12,1.103813421,30.24913075,108.6213049,6.509803922,0.807447969,3.008231542,-1.56E-15,97.46423598,1.82E-13,460481.7758,0.318804024,0.406488049,13000.59272,201451.6138,185.5036561,,,,,,,,,,,,,,1440,9401.9854825228,8373.658654,100,100,50,56.667
6_upp_2_santi_v1,Wild-Type_EE,6,13,2,-120,93.63702141,76.69507856,1,post_med,932.7484067,179.4399222,16,0.903005411,12,1.49732237,27.43377667,95.1065733,6.121212121,0.918207514,5.249082153,-6.55E-14,77.40186252,9.18E-14,292056.6101,0.274542696,0.437068527,7305.805351,42640.36139,173.1347738,,,,,,,,,,,,,,790,5569.51231414718,5003.279862,100,100,40,43.333
6_upp_3_santi_v1,Wild-Type_EE,6,13,3,-120,117.0232682,84.23420478,1,post_med,1629.729245,231.6365762,29,0.85537908,11,1.138495136,25.86871499,98.89833785,5.491525424,0.620534238,2.527602847,-6.3E-14,81.15175234,-5.12E-14,419645.4995,0.369655504,0.342472126,11571.02191,285846.5526,213.2303982,,,,,,,,,,,,,,1230,9075.28065669632,8085.940384,100,100,50,53.333
6_upp_5_santi_v1,Wild-Type_EE,6,13,5,-120,138.1834404,105.1067704,2,post_cent,2032.898515,339.796381,22,0.933487142,11,1.246552395,44.1934438,165.6245974,5.377777778,0.547841453,3.813909428,-8.28E-14,152.7576215,5.04E-14,699564.4059,0.312502353,0.400158152,17702.8913,279762.6121,312.4343802,,,,,,,,,,,,,,1750,12317.583380316,11083.49588,83.3325,100,40,66.667
7_low_1_santi_v1,Wild-Type_EE,7,14,1,0,83.17964745,79.81848563,1,post_med,1211.406144,226.6152022,14,0.864126492,12,1.296617057,36.70927407,99.8778887,6,1.122861243,4.851770216,2.08E-14,74.52943844,-1.12E-14,452665.9553,0.223654718,0.375776476,11339.36385,203624.3284,180.6687826,,,,,,,,,,,,,,920,7295.46568030889,6560.071813,83.3325,100,40,43.333
7_low_3_santi_v1,Wild-Type_EE,7,14,3,0,116.4403856,99.05552871,2,post_cent,2357.393408,304.9059758,33,0.892065559,17,1.535893119,31.01833299,130.3495771,8.298507463,0.824736091,4.842869504,-7.02E-14,103.90133,9.92E-14,753432.7021,0.261081184,0.358131239,17759.0078,279762.362,261.3828211,,,,,,,,,,,,,,1730,13527.4564499635,12096.38174,100,100,53.333,63.333
